id,title,company,location,city,state,description,requirements,salary,job_type,url,source,source_url,scraped_at,platform
Artis Senior Living_511508006950365264,Licensed Practical Nurse (LPN) - Part Time,Artis Senior Living,"Artis Senior Living


Huntingdon Valley, PA 19006, USA",Huntingdon Valley,PA,"Licensed Practical Nurse (LPN) - Part Time
Jun 27, 2025
Job Category: CHW
Requisition Number: LICEN003469
Schedule: Part Time

Artis Senior Living


Huntingdon Valley, PA 19006, USA





The Licensed Practical Nurse (LPN) will provide clinical monitoring and support for residents with Alzheimer's/Dementia. Ensures that all restorative, support and preventative measures are met in accordance with applicable state laws and regulations. Experience with Alzheimer's/Dementia or behavioral health cond...","with Alzheimer's/Dementia or behavioral health conditions, and a willingness to work with the elderly population is essential for this role. *Starting pay is $30 / hour! *This is a part time position offering 12 hour shifts, 7am-7pm, OR 7pm-7am! Every other weekend is required!",$30,Part-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=4086700f-25d1-4fe8-ac34-5f588e9cf45e,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:19.664460,ultipro
Artis Senior Living_2422964560151618828,Licensed Practical Nurse (LPN),Artis Senior Living,"Artis Senior Living


Huntingdon Valley, PA 19006, USA",Huntingdon Valley,PA,"Licensed Practical Nurse (LPN)
Jun 27, 2025
Job Category: CHW
Requisition Number: LICEN003468
Schedule: Full Time

Artis Senior Living


Huntingdon Valley, PA 19006, USA





The Licensed Practical Nurse (LPN) will provide clinical monitoring and support for residents with Alzheimer's/Dementia. Ensures that all restorative, support and preventative measures are met in accordance with applicable state laws and regulations. Experience with Alzheimer's/Dementia or behavioral health conditions, and ...","with Alzheimer's/Dementia or behavioral health conditions, and a willingness to work with the elderly population is essential for this role. *Starting pay is $30 / hour! *This is a full time position offering 12 hour shifts, 7am-7pm, OR 7pm-7am! Every other weekend is required!",$30,Full-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=9ad20268-34c0-413e-b166-17985e7da0bf,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:21.357782,ultipro
Artis Senior Living_2598780332592066221,Home Health Aide (HHA),Artis Senior Living,"Artis Senior Living


Spring Valley, NY 10977, USA",Spring Valley,NY,"Home Health Aide (HHA)
Jun 27, 2025
Job Category: Care Partner
Requisition Number: HOMEH003467
Schedule: Full Time

Artis Senior Living


Spring Valley, NY 10977, USA





The Home Health Aide (HHA) will provide assistance with daily living activities for residents with Alzheimer's/Dementia. You may be required to respond to emergency calls and situations, document and report care provided, and transport residents to various functions or locations. Familiarity with Alzheimer's/Dementia, and a wi...",Requirements not specified,$18,Full-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=cb7cb487-b738-4c2a-803b-eab384630de4,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:22.859127,ultipro
Artis Senior Living_4378035563640545954,CNA / HHA (Home Health Aide),Artis Senior Living,"Artis Senior Living | Waltham


Lexington, MA 02421, USA",Lexington,MA,"CNA / HHA (Home Health Aide)
Jun 25, 2025
Job Category: Care Partner
Requisition Number: CNAHH003464
Schedule: Full Time

Artis Senior Living | Waltham


Lexington, MA 02421, USA





The CNA will provide assistance with daily living activities for residents with Alzheimer's/Dementia. You may be required to respond to emergency calls and situations, document and report care provided, and transport residents to various functions or locations. Familiarity with Alzheimer's/Dementia, and a willingne...",Requirements not specified,$20,Full-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=2117e9e8-35ba-4e81-8518-179c6dc25d89,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:24.472366,ultipro
Artis Senior Living_3355986419218194344,Concierge / Front Desk,Artis Senior Living,"Artis Senior Living


Boca Raton, FL 33487, USA",Boca Raton,FL,"Concierge / Front Desk
Jun 24, 2025
Job Category: CHW
Requisition Number: CONCI003463
Schedule: Full Time

Artis Senior Living


Boca Raton, FL 33487, USA





The Concierge will manage the reception area and provide administrative support for the Business Office, Marketing, and the Executive Director. The Concierge will answer telephones promptly and professionally, direct calls to the appropriate team, greet incoming guests, accept deliveries, and provide administrative support for business se...",Requirements not specified,$15,Full-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=f5382ba0-f4f3-4ceb-bfff-89802326a838,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:26.142024,ultipro
Artis Senior Living_2670363884543174153,Cook,Artis Senior Living,"Evesham, NJ 08053, USA",Evesham,NJ,"Cook
Jun 24, 2025
Job Category: General
Requisition Number: COOK0003461
Schedule: Full Time




Evesham, NJ 08053, USA





Are you looking for an opportunity to explore your culinary curiosity? Do you enjoy learning unique recipes and having creative freedom at work? The Cook position offers a flexible schedule, work/life balance AND room for advancement! *Starting pay is $18 / hour! *This is a full time position offering a day time schedule. Every other weekend is required!",Requirements not specified,$18,Full-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=690546a2-0c1c-4d8e-823d-53292d42d968,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:27.743828,ultipro
Artis Senior Living_2076042592318221436,Cook,Artis Senior Living,"Artis Senior Living


Briarcliff Manor, NY 10510, USA",Briarcliff Manor,NY,"Cook
Jun 23, 2025
Job Category: General
Requisition Number: COOK0003374
Schedule: Full Time

Artis Senior Living


Briarcliff Manor, NY 10510, USA





Are you looking for an opportunity to explore your culinary curiosity? Do you enjoy learning unique recipes and having creative freedom at work? The Cook position offers a flexible schedule, work/life balance AND room for advancement! *Starting pay is $22 / hour! *This is a full time position offering a flexible day time schedule! Some weekends a...",Requirements not specified,$22,Full-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=e4ade823-7b47-48d0-9ff6-5fdcf7b4a3cb,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:29.560814,ultipro
Artis Senior Living_6532892297015984991,Licensed Practical Nurse (LPN),Artis Senior Living,"Artis Senior Living | Waltham


Lexington, MA 02421, USA",Lexington,MA,"Licensed Practical Nurse (LPN)
Jun 23, 2025
Job Category: CHW
Requisition Number: LICEN003460
Schedule: Full Time

Artis Senior Living | Waltham


Lexington, MA 02421, USA





The LPN will provide clinical monitoring and support for residents with Alzheimer's/Dementia. Ensures that all restorative, support and preventative measures are met in accordance with applicable state laws and regulations. Experience with Alzheimer's/Dementia or behavioral health conditions, and a willingness to work wit...","with Alzheimer's/Dementia or behavioral health conditions, and a willingness to work with the elderly population is essential for this role. *Starting pay is $40 / hour! *This is a full-time position offering a flexible schedule on 1st shift (7am-3pm) OR 2nd shift (3pm-11pm). Every other weekend is required!",$40,Full-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=024e99ab-2635-4969-9ddb-2bed25d9e59f,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:31.318545,ultipro
Artis Senior Living_5500280412716702237,Licensed Practical Nurse (LPN),Artis Senior Living,"Artis Senior Living | Potomac


Bethesda, MD 20817, USA",Bethesda,MD,"Licensed Practical Nurse (LPN)
Jun 22, 2025
Job Category: CHW
Requisition Number: LICEN003459
Schedule: Full Time

Artis Senior Living | Potomac


Bethesda, MD 20817, USA





The Licensed Practical Nurse (LPN) will provide clinical monitoring and support for residents with Alzheimer's/Dementia. Ensures that all restorative, support and preventative measures are met in accordance with applicable state laws and regulations. Experience with Alzheimer's/Dementia or behavioral health conditions, and...","with Alzheimer's/Dementia or behavioral health conditions, and a willingness to work with the elderly population is essential for this role. *Starting pay is $32 / hour! *This is a full time position offering a flexible schedule working 12 hour shifts, 7pm-7am! Every other weekend is required!",$32,Full-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=05027b46-9a4d-4c4d-b894-f07f903eb31d,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:33.052561,ultipro
Artis Senior Living_6189775901639744241,Licensed Practical Nurse (LPN) - Part Time,Artis Senior Living,"Artis Senior Living | Potomac


Bethesda, MD 20817, USA",Bethesda,MD,"Licensed Practical Nurse (LPN) - Part Time
Jun 22, 2025
Job Category: CHW
Requisition Number: LICEN003458
Schedule: Part Time

Artis Senior Living | Potomac


Bethesda, MD 20817, USA





The Licensed Practical Nurse (LPN) will provide clinical monitoring and support for residents with Alzheimer's/Dementia. Ensures that all restorative, support and preventative measures are met in accordance with applicable state laws and regulations. Experience with Alzheimer's/Dementia or behavioral health con...","with Alzheimer's/Dementia or behavioral health conditions, and a willingness to work with the elderly population is essential for this role. *Starting pay is $32 / hour! *This is a part time position offering a flexible schedule working 12 hour shifts, 7pm-7am! Every other weekend is required!",$32,Part-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=a862332f-bdfe-4cbd-a1f1-8413419fab72,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:34.585598,ultipro
Artis Senior Living_9183880100770463013,CNA - Part Time / PRN,Artis Senior Living,"Artis Senior Living | Potomac


Bethesda, MD 20817, USA",Bethesda,MD,"CNA - Part Time / PRN
Jun 22, 2025
Job Category: Care Partner
Requisition Number: CNAPA003457
Schedule: Part Time

Artis Senior Living | Potomac


Bethesda, MD 20817, USA





The CNA will provide assistance with daily living activities for residents with Alzheimer's/Dementia. You may be required to respond to emergency calls and situations, document and report care provided, and transport residents to various functions or locations. Familiarity with Alzheimer's/Dementia, and a willingness to wo...",Requirements not specified,$20,Part-time,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/OpportunityDetail?opportunityId=3f0f496e-9cda-4165-ae4d-c55c266198fd,Artis Senior Living,https://recruiting.ultipro.com/ART1008ARTH/JobBoard/dc78aa87-cca0-413e-a32b-450fecf2bffb/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:06:36.215135,ultipro
Maplewood Senior Living_5361120722656737629,Nursing Assistant / Caregiver / STNA Full Time 3p-11p,Maplewood Senior Living,"Cuyahoga Falls, OH 44223, USA",Cuyahoga Falls,OH,"Nursing Assistant / Caregiver / STNA Full Time 3p-11p
Jul 10, 2025
Job Category: Resident Care/Healthcare
Requisition Number: NURSI011560
Schedule: Full Time




Cuyahoga Falls, OH 44223, USA





The Nursing Assistant plays an integral role in providing exceptional care and service to our residents in need of dedicated hands on assistance based on the individual resident service plan.",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/OpportunityDetail?opportunityId=8fead11f-baaa-4d06-95a1-87982822c27a,Maplewood Senior Living,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:15:46.090863,ultipro
Maplewood Senior Living_5290330099610126506,Nursing Assistant / Caregiver / STNA Per Diem,Maplewood Senior Living,"Cuyahoga Falls, OH 44223, USA",Cuyahoga Falls,OH,"Nursing Assistant / Caregiver / STNA Per Diem
Jul 10, 2025
Job Category: Resident Care/Healthcare
Requisition Number: NURSI011724
Schedule: Part Time




Cuyahoga Falls, OH 44223, USA





The Resident Services Associate provides service and care to each resident based on the individual resident’s service plan. Maplewood at Cuyahoga Falls, 190 West Bath Rd Cuyahoga Falls, OH Maplewood Senior Living is a state-of-the-art, forward-thinking senior living provider offering a home-like, luxury enviro...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/OpportunityDetail?opportunityId=17892c11-0a10-4aa8-ae26-518a09226d55,Maplewood Senior Living,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:15:48.094377,ultipro
Maplewood Senior Living_4668238335354976721,Medical Records Support/Unit Secretary,Maplewood Senior Living,"Mayflower SNF


West Yarmouth, MA 02673, USA",West Yarmouth,MA,"Medical Records Support/Unit Secretary
Jul 10, 2025
Job Category: Administration/Customer Services
Requisition Number: MEDIC011860
Schedule: Full Time

Mayflower SNF


West Yarmouth, MA 02673, USA





As a Medical Records Specialist at our skilled nursing facility, you will play a crucial role in managing and maintaining accurate and up-to-date medical records for our residents. Your primary responsibility will be to ensure that all medical documentation is organized, complete, and adheres to t...",. We offer: ✦ Competitive wages ✦ Flexible shifts ✦ Bonus & incentive programs ✦ Paid training ✦ Growth opportunities ✦ 401k match Maplewood at Mayflower Place Skilled Nursing & Rehab Center,Salary not specified,Full-time,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/OpportunityDetail?opportunityId=2322ba4a-31cf-4d9b-a45b-9b78a65a7fd3,Maplewood Senior Living,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:15:50.444570,ultipro
Maplewood Senior Living_100302724855933834,Executive Director - Senior Living,Maplewood Senior Living,"West Yarmouth, MA 02673, MA 02673, USA",West Yarmouth,MA,"Executive Director - Senior Living
Jul 9, 2025
Job Category: Management
Requisition Number: EXECU011861
Schedule: Full Time
Job Location Type: On-site




West Yarmouth, MA 02673, MA 02673, USA





The Executive Director is responsible for the day-to-day operations of the community including the planning, development, implementation, evaluation and improvement of program services, management of staff and the delivery of high-quality service to the residents and their families. The Executive Dir...",Requirements not specified,Salary not specified,Full-time,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/OpportunityDetail?opportunityId=0b15c02f-b59e-4525-885a-fc29faa181a2,Maplewood Senior Living,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:15:51.882088,ultipro
Maplewood Senior Living_536074064183911833,Concierge - Part Time,Maplewood Senior Living,"West Yarmouth, MA 02673, MA 02673, USA",West Yarmouth,MA,"Concierge - Part Time
Jul 9, 2025
Job Category: Administration/Customer Services
Requisition Number: CONCI011783
Schedule: Part Time




West Yarmouth, MA 02673, MA 02673, USA





The Concierge serves as an ambassador to the community and supports the Business Office Manager in meeting his/her responsibility for overall administration of the community. All responsibilities will be conducted in a manner that is consistent with the Maplewood Community philosophy.",Requirements not specified,Salary not specified,Part-time,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/OpportunityDetail?opportunityId=fb7a9409-4384-408d-8a5f-b4ce05a37a4d,Maplewood Senior Living,https://recruiting.ultipro.com/MAP1003/JobBoard/51997001-de38-2b3c-51f7-8dfc3b02a5dd/?q=&o=postedDateDesc&w=&wc=&we=&wpst=,2025-07-11T01:15:53.342852,ultipro
